title,salary,date_posted,location,closing_date,days_open,posted_month,posted_year,closing_month,closing_year
tender administrative assistanttransinvest construction ltd,25500.0,2025-08-19,port louis,2025-09-18,30,8,2025,9,2025
international payroll specialistavantor,45500.0,2025-08-19,moka,2025-09-18,30,8,2025,9,2025
associate order entry quotations germanavantor,25500.0,2025-08-19,mauritius,2025-09-18,30,8,2025,9,2025
compliance analystlinkham services ltd,35500.0,2025-08-19,port louis,2025-09-18,30,8,2025,9,2025
pricing clerkudis ltee,15000.0,2025-08-19,mauritius,2025-09-18,30,8,2025,9,2025
caissier caissi reudis ltee,15000.0,2025-08-19,pamplemousses,2025-09-18,30,8,2025,9,2025
lorry driver tyrexpert abc automobile,15000.0,2025-08-18,port louis,2025-09-17,30,8,2025,9,2025
draughtsman dm alentaris recruitment ltd,35500.0,2025-08-18,plaine wilhems,2025-09-17,30,8,2025,9,2025
operation support assistantabc automobile,25500.0,2025-08-18,port louis,2025-09-17,30,8,2025,9,2025
driver van hidden company,25500.0,2025-08-18,black river,2025-09-12,25,8,2025,9,2025
gestionnaire de recouvrement credit controller btoc iqera,15000.0,2025-08-18,port louis,2025-09-17,30,8,2025,9,2025
junior entertainer dancer riu hotels resorts,25500.0,2025-08-18,black river,2025-10-17,60,8,2025,10,2025
technical engineergamma materials ltd,35500.0,2025-08-18,pamplemousses,2025-09-10,23,8,2025,9,2025
check out operatorsik yuen,15000.0,2025-08-18,plaine wilhems,2025-09-17,30,8,2025,9,2025
supervisor floorone only le saint geran,25500.0,2025-08-18,flacq,2025-09-17,30,8,2025,9,2025
invoicing clerksik yuen,15000.0,2025-08-18,plaine wilhems,2025-09-17,30,8,2025,9,2025
field service technician service engineerhidden company,35500.0,2025-08-11,port louis,2025-09-11,31,8,2025,9,2025
senior trust and corporate administratorhidden company,88000.0,2025-08-11,pamplemousses,2025-09-08,28,8,2025,9,2025
sales executive sales managerhidden company,63000.0,2025-08-12,black river,2025-09-09,28,8,2025,9,2025
assist gest copro assoc fonci rehidden company,35500.0,2025-08-12,black river,2025-09-12,31,8,2025,9,2025
human resource assistantgamma materials ltd,35500.0,2025-08-18,plaine wilhems,2025-09-10,23,8,2025,9,2025
driver van hidden company,25500.0,2025-08-15,black river,2025-09-12,28,8,2025,9,2025
production supervisorgamma materials ltd,25500.0,2025-08-18,pamplemousses,2025-09-10,23,8,2025,9,2025
p o r t e r tamassa resort,15000.0,2025-08-18,savanne,2025-09-17,30,8,2025,9,2025
junior receptionist telephone operator riu hotels resorts,15000.0,2025-08-18,black river,2025-10-17,60,8,2025,10,2025
kitchen stewardriu hotels resorts,15000.0,2025-08-18,black river,2025-10-17,60,8,2025,10,2025
chef de rang head waiter the address boutique hotelninety six hotel collection,15000.0,2025-08-18,port louis,2025-09-17,30,8,2025,9,2025
receptionist the address boutique hotelninety six hotel collection,25500.0,2025-08-18,pamplemousses,2025-09-17,30,8,2025,9,2025
waiter the address boutique hotelninety six hotel collection,15000.0,2025-08-18,port louis,2025-09-17,30,8,2025,9,2025
bar waiter the address boutique hotelninety six hotel collection,15000.0,2025-08-18,port louis,2025-09-17,30,8,2025,9,2025
head bartender the address boutique hotelninety six hotel collection,15000.0,2025-08-18,pamplemousses,2025-09-17,30,8,2025,9,2025
night auditorriu hotels resorts,25500.0,2025-08-18,black river,2025-09-30,43,8,2025,9,2025
senior maintenance technicianriu hotels resorts,25500.0,2025-08-18,black river,2025-10-17,60,8,2025,10,2025
manager irdone only le saint geran,45500.0,2025-08-18,flacq,2025-09-12,25,8,2025,9,2025
supervisor irdone only le saint geran,25500.0,2025-08-18,flacq,2025-09-12,25,8,2025,9,2025
manager sales gccone only le saint geran,63000.0,2025-08-18,flacq,2025-09-12,25,8,2025,9,2025
room attendantriu hotels resorts,25500.0,2025-08-18,black river,2025-10-17,60,8,2025,10,2025
data engineermantu group amaris consulting ,45500.0,2025-08-18,plaine wilhems,2025-09-17,30,8,2025,9,2025
senior receptionistriu hotels resorts,25500.0,2025-08-18,black river,2025-10-17,60,8,2025,10,2025
r e c e p t i o n i s t riu hotels resorts,25500.0,2025-08-18,black river,2025-10-17,60,8,2025,10,2025
junior receptionistriu hotels resorts,25500.0,2025-08-18,black river,2025-10-17,60,8,2025,10,2025
senior bartenderriu hotels resorts,25500.0,2025-08-18,black river,2025-10-17,60,8,2025,10,2025
b a r t e n d e r riu hotels resorts,25500.0,2025-08-18,black river,2025-10-17,60,8,2025,10,2025
junior bartenderriu hotels resorts,15000.0,2025-08-18,black river,2025-10-17,60,8,2025,10,2025
senior restaurant waiterriu hotels resorts,25500.0,2025-08-18,black river,2025-10-17,60,8,2025,10,2025
junior waiterriu hotels resorts,25500.0,2025-08-18,black river,2025-10-17,60,8,2025,10,2025
chef de partieriu hotels resorts,35500.0,2025-08-18,black river,2025-10-17,60,8,2025,10,2025
demi chef de partieriu hotels resorts,25500.0,2025-08-18,black river,2025-10-17,60,8,2025,10,2025
commis iriu hotels resorts,25500.0,2025-08-18,black river,2025-10-17,60,8,2025,10,2025
commis iiriu hotels resorts,25500.0,2025-08-18,black river,2025-10-17,60,8,2025,10,2025
w a i t e r riu hotels resorts,25500.0,2025-08-18,black river,2025-10-17,60,8,2025,10,2025
assistant production managerhidden company,63000.0,2025-08-16,port louis,2025-09-15,30,8,2025,9,2025
commis sommelierone only le saint geran,25500.0,2025-07-16,flacq,2025-09-15,61,7,2025,9,2025
comptable junioratalian interactive ltd,25500.0,2025-08-15,port louis,2025-09-14,30,8,2025,9,2025
data analystrealign consulting ltd,45500.0,2025-08-14,port louis,2025-09-13,30,8,2025,9,2025
supervisor villaone only le saint geran,25500.0,2025-08-15,flacq,2025-09-14,30,8,2025,9,2025
technicien support informatiquesedeco ltd,25500.0,2025-08-14,port louis,2025-09-13,30,8,2025,9,2025
head waiterveranda pointe aux biches hotel,25500.0,2025-08-14,port louis,2025-09-13,30,8,2025,9,2025
w a i t e r veranda pointe aux biches hotel,15000.0,2025-08-14,riviere du rempart,2025-09-13,30,8,2025,9,2025
e l e c t r i c i a n anantara iko mauritius resort villas,15000.0,2025-08-14,mauritius,2025-09-13,30,8,2025,9,2025
sourcing supportabinbev,35500.0,2025-08-14,black river,2025-09-13,30,8,2025,9,2025
customer service advisorneutratech mauritius co ltd,25500.0,2025-08-14,plaine wilhems,2025-09-13,30,8,2025,9,2025
tele marketing operatorneutratech mauritius co ltd,25500.0,2025-08-14,plaine wilhems,2025-09-13,30,8,2025,9,2025
marketing assistantneutratech mauritius co ltd,25500.0,2025-08-14,plaine wilhems,2025-09-13,30,8,2025,9,2025
fast food operative port louis regionexotic group,25500.0,2025-08-14,mauritius,2025-09-13,30,8,2025,9,2025
senior client accounting sca alentaris recruitment ltd,35500.0,2025-08-14,plaine wilhems,2025-09-13,30,8,2025,9,2025
